key,translation,comment
"Could not create save file: {0}","Não foi possível criar o arquivo de salvamento: {0}"
"Could not start server:","Não foi possível iniciar o servidor:"
"Connection Failed","Falha na Conexão"
"Hit {0} for {1} damage!","Você acertou um(a) {0} causando {1} de dano!"
"You killed the {0}. Find the carcass to harvest it.","Você matou o(a) {0}. Encontre a carcaça para recolhê-la."
"The carcass has already been harvested","A carcaça já foi recolhida"
"You cannot queue more than {0} projects at a single table.","Não pode haver mais de {0} projetos na fila em uma única mesa."
"Cannot lower the priority of other people's work orders on someone else's property.","Não é possível reduzir a prioridade das ordens de trabalho de outras pessoas estando na propriedade de outra pessoa."
"Project cancelled.","O projeto foi cancelado."
"Could not cancel this project: {0}","Não foi possível cancelar este projeto: {0}"
"This {0:object} has active projects and can't be picked up","Este(a) {0:object} tem projetos ativos e não pode ser removido(a)"
"Specify an amount to buy first.","Especifique uma quantidade para comprar, primeiro."
"Can't have more than 100 exchanges listed.","Não é possível ter mais de 100 trocas listadas."
"Can't have more than 100 holdings listed.","Não se pode ter mais de 100 propriedades listadas."
"This mint is currently disabled, check status for details.","Esta prensa de moeda está atualmente desativada, verifique o estado para mais detalhes."
"Invalid currency name.","Nome da moeda inválido."
"That currency name already exists at another mint.","Este nome de moeda já existe em outra prensa de moeda."
"{0} created the currency {1}.","{0} criou a moeda {1}."
"{0} renamed currency {1} to {2}.","{0} renomeou a moeda {1} para {2}."
"This mint is currently not functional, check status for details.","Esta prensa de moeda não está funcionando no momento, verifique o estado para mais detalhes."
"Need to give your currency a name before you can craft it.","É preciso dar um nome a sua moeda antes de criá-la."
"You must craft more than zero coins.","Você deve criar mais do que zero moedas."
"{0} created {1}.","{0} criou {1}."
"No item on table to repair.","Nenhum item na mesa para reparar."
"Cannot repair {0}.","Não é possível reparar {0}."
"{0} is already at max durability.","{0} já está na durabilidade máxima."
"You can't repair {0} until you learn {1}.","Você não pode reparar {0} até você aprender {1}."
"Unable to repair, please check table status.","Não foi possível reparar. Por favor, verifique o estado da mesa."
"Not enough {0} to complete the repair, {1} needed.","{0} insuficientes para concluir o reparo, é preciso ter {1}."
"{0} repaired to maximum durability.","{0} reparado para a durabilidade máxima."
"No items marked for trade.","Nenhum item marcado para negociação."
"Trade failed: {0} doesn't want any more {1}.","A negociação falhou: {0} não quer mais {1}."
"Trade failed: {0} wants a max of {1} {2}","A troca falhou: {0} quer um máximo de {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","O proprietário {0} não tem moeda suficiente para cobrir esta negociação."
"{0} is now sold out of {1}","{0} agora está sem estoque de {1}"
"You briefly faint and drop the cart handles! You are starving!","Você brevemente desmaia e deixa cair as alças do carrinho! Você está morrendo de fome!"
"You are too hungry to pull this {0}!","Você está com muita fome para puxar este(a) {0}!"
"No meteor to destroy.","Nenhum meteoro para destruir."
"Meteor destroyed.","Meteoro destruído."
"A wild meteor has appeared!","Um meteoro selvagem apareceu!"
"A meteor already exists!","Um meteoro já existe!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","Contrato '{0}' é inválido, deve corrigir ou excluir antes de postar mais um."
"No currency found.","Nenhuma moeda encontrada."
"<Unassigned>","<Não atribuído>"
"That contract is too far away to accept.  Contract board is located at {0}.","Esse contrato está muito longe para ser aceito. O quadro de contrato está localizado em {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Contrato não aceito: não se pode ter mais do que {0} contratos ativos ao mesmo tempo."
