key,translation,comment
"Could not create save file: {0}","Could not create save file: {0}"
"Could not start server:","Kan ikke starte serveren:"
"Connection Failed","Forbindelsen mislykket"
"Hit {0} for {1} damage!","Ramte {0} for {1} skade!"
"You killed the {0}. Find the carcass to harvest it.","Du dræbte {0}. Find kadaveret for at samle det op."
"The carcass has already been harvested","Kadaveret er allerede blevet opsamlet"
"You cannot queue more than {0} projects at a single table.","Du kan ikke igangsætte mere end {0} projekter ved et enkelt bord."
"Cannot lower the priority of other people's work orders on someone else's property.","Kan ikke sænke prioriteten af andres arbejdsordre på en andens ejendom."
"Project cancelled.","Projekt afbrudt."
"Could not cancel this project: {0}","Kan ikke afbryde dette projekt: {0}"
"This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up"
"Specify an amount to buy first.","Specificer antal du vil købe først."
"Can't have more than 100 exchanges listed.","Kan ikke har mere end 100 udvekslinger listet."
"Can't have more than 100 holdings listed.","Kan ikke har mere end 100 bedrifter listet."
"This mint is currently disabled, check status for details.","Denne møntpresse er i øjeblikket deaktiveret, tjek status for detaljer."
"Invalid currency name.","Ugyldig valuta-navn."
"That currency name already exists at another mint.","That currency name already exists at another mint."
"{0} created the currency {1}.","{0} oprettede valutaen {1}."
"{0} renamed currency {1} to {2}.","{0} omdøbte valutaen {1} til {2}."
"This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details."
"Need to give your currency a name before you can craft it.","Du er nødt til at give din valuta et navn inden du kan lave den."
"You must craft more than zero coins.","Du er nødt til at lave mere end nul mønter."
"{0} created {1}.","{0} created {1}."
"No item on table to repair.","No item on table to repair."
"Cannot repair {0}.","Cannot repair {0}."
"{0} is already at max durability.","{0} is already at max durability."
"You can't repair {0} until you learn {1}.","Du kan ikke reparere {0} før du har lært {1}."
"Unable to repair, please check table status.","Ikke i stand til at reparere, tjek venligst bordets status."
"Not enough {0} to complete the repair, {1} needed.","Ikke nok {0} til at færdiggøre reparationen, {1} nødvendig."
"{0} repaired to maximum durability.","{0} repaired to maximum durability."
"No items marked for trade.","Ingen varer er markeret til handel."
"Trade failed: {0} doesn't want any more {1}.","Handlen mislykkes: {0} vil ikke have flere {1}."
"Trade failed: {0} wants a max of {1} {2}","Handlen mislykkes: {0} ønsker et maksimum af {1} {2}."
"The owner {0} doesn't have enough currency to cover this trade.","Ejeren {0} har ikke nok valuta til at dække denne handel."
"{0} is now sold out of {1}","{0} is now sold out of {1}"
"You briefly faint and drop the cart handles! You are starving!","You briefly faint and drop the cart handles! You are starving!"
"You are too hungry to pull this {0}!","You are too hungry to pull this {0}!"
"No meteor to destroy.","No meteor to destroy."
"Meteor destroyed.","Meteor destroyed."
"A wild meteor has appeared!","A wild meteor has appeared!"
"A meteor already exists!","A meteor already exists!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","Contract '{0}' is invalid, must fix or delete before posting another one."
"No currency found.","No currency found."
"<Unassigned>","<Unassigned>"
"That contract is too far away to accept.  Contract board is located at {0}.","That contract is too far away to accept.  Contract board is located at {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Contract not accepted: cannot have more than {0} active contracts at once."
"Can't mark a job failed until the time has expired. {0} left.","Can't mark a job failed until the time has expired. {0} left."
"{0:client name} marked {1:contractor name}'s contract failed:","{0:client name} marked {1:contractor name}'s contract failed:"
"{0:client name} marked your contract as failed:","{0:client name} marked your contract as failed:"
"Contract does not have any clauses.","Contract does not have any clauses."
"Must give the contract a name (click icon in title bar).","Must give the contract a name (click icon in title bar)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes."
"Put {0} in {1}.","Put {0} in {1}."
"No items specified for container clause.","No items specified for container clause."
"No room at requested location, {0}.","No room at requested location, {0}."
"From position not specified for Build Road clause.","Startposition ikke specificeret for 'Byg Vej'-klausul."
"To position not specified for Build Road clause.","Slutposition ikke specificeret for 'Byg Vej'-klausul."
"Same position chosen for beginning/end points of road in Build Road clause.","Samme position er valgt for start- og slutpositionen af vej i 'Byg Vej'-klausul."
"No item specified for road type.","No item specified for road type."
"No road type selected.","Ingen vejtype valgt."
"Road not complete. Last valid point on road detected at {0}.","Road not complete. Last valid point on road detected at {0}."
"more","mere"
"less","mindre"
"No property specified for Blocks clause.","Ingen egenskab specificeret for Blok-klausul."
"No items specified for blocks on property clause.","No items specified for blocks on property clause."
"more than","mere end"
"less than","mindre end"
"\nFound {0} at {1}.","\nFound {0} at {1}."
