key,translation,comment
"Could not create save file: {0}","Impossibile creare il salvataggio: {0}"
"Could not start server:","Impossibile avviare il server:"
"Connection Failed","Connessione non riuscita"
"Hit {0} for {1} damage!","Hai colpito {0} per {1} danni!"
"You killed the {0}. Find the carcass to harvest it.","Hai ucciso il {0}. Trova la carcassa per raccoglierlo."
"The carcass has already been harvested","La carcassa è già stata raccolta"
"You cannot queue more than {0} projects at a single table.","Non è possibile accodare più di {0} progetti a un singolo tavolo."
"Cannot lower the priority of other people's work orders on someone else's property.","Non puoi abbassare la priorità degli ordini di lavoro di altre persone sulla proprietà di qualcun altro."
"Project cancelled.","Progetto Cancellato."
"Could not cancel this project: {0}","Non puoi annullare questo progetto: {0}"
"This {0:object} has active projects and can't be picked up","Questo {0:object} ha progetti attivi e non può essere preso"
"Specify an amount to buy first.","Specificare un importo prima di acquistare."
"Can't have more than 100 exchanges listed.","Non puoi avere più di 100 scambi elencati."
"Can't have more than 100 holdings listed.","Non puoi avere più di 100 partecipazioni quotate."
"This mint is currently disabled, check status for details.","Questa moneta è attualmente disattivata, controllare lo stato per i dettagli."
"Invalid currency name.","Nome della valuta non valido."
"That currency name already exists at another mint.","Quel nome di valuta non è valido. Esiste già una valuta con questo nome."
"{0} created the currency {1}.","{0} ha creato la valuta: {1}."
"{0} renamed currency {1} to {2}.","{0} ha rinominato la valuta {1} in{2}."
"This mint is currently not functional, check status for details.","Questa zecca non è attualmente funzionante, controlla lo stato per i dettagli."
"Need to give your currency a name before you can craft it.","È necessario dare un nome alla valuta per produrla."
"You must craft more than zero coins.","È necessario creare più di 0 monete."
"{0} created {1}.","{0} ha creato {1}."
"No item on table to repair.","Nessun elemento sul tavolo da riparare."
"Cannot repair {0}.","Non è possibile riparare {0}."
"{0} is already at max durability.","{0} è già alla massima durabilità."
"You can't repair {0} until you learn {1}.","Non è possibile riparare {0} fino a quando non impari {1}."
"Unable to repair, please check table status.","Impossibile riparare, controllare lo stato."
"Not enough {0} to complete the repair, {1} needed.","Non hai abbastanza {0} per completare il ripristino, {1} necessari."
"{0} repaired to maximum durability.","{0} è stato riparato alla durabilità massima."
"No items marked for trade.","Nessun oggetto contrassegnato per lo scambio."
"Trade failed: {0} doesn't want any more {1}.","Commercio Fallito: {0} non vuole più {1}."
"Trade failed: {0} wants a max of {1} {2}","Commercio Fallito: {0} vuole un massimo di {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","Il Proprietario {0} non ha abbastanza denaro per concludere lo scambio."
"{0} is now sold out of {1}","{0} ha esaurito {1}"
"You briefly faint and drop the cart handles! You are starving!","Ti senti svenire per un attimo e lasci la maniglia del carrello! Stai morendo di fame!"
"You are too hungry to pull this {0}!","Sei troppo affamato per tirare questo {0}!"
"No meteor to destroy.","Nessun meteorite da distruggere."
"Meteor destroyed.","Meteorite distrutto."
