key,translation,comment
"Could not create save file: {0}","セーブファイルを作成できませんでした: {0}"
"Could not start server:","サーバーを起動できませんでした:"
"Connection Failed","接続失敗"
"Hit {0} for {1} damage!","{0} に {1} のダメージ！"
"You killed the {0}. Find the carcass to harvest it.","あなたは {0} を殺した。死体を見つけて採取してください。"
"The carcass has already been harvested","死体はすでに採取されました。"
"You cannot queue more than {0} projects at a single table.","ひとつの作業台で {0} 以上のプロジェクトはキューに追加できません。"
"Cannot lower the priority of other people's work orders on someone else's property.","他人の所有物で他の人の作業の優先順位を下げることはできません。"
"Project cancelled.","プロジェクトがキャンセルされました。"
"Could not cancel this project: {0}","このプロジェクトはキャンセルできません: {0}"
"This {0:object} has active projects and can't be picked up","この {0:object} はプロジェクトが進行中なため破壊できません。"
"Specify an amount to buy first.","数量を指定してから購入してください。"
"Can't have more than 100 exchanges listed.","100件を超える取引はできません。"
"Can't have more than 100 holdings listed.","100以上の土地を所有することはできません。"
"This mint is currently disabled, check status for details.","この造幣機は現在無効です。詳細についてはステータスを確認してください。"
"Invalid currency name.","通貨名が無効です。"
"That currency name already exists at another mint.","その通貨名はすでに別の造幣機に存在します。"
"{0} created the currency {1}.","{0} が、通貨 {1} を作成しました。"
"{0} renamed currency {1} to {2}.","{0} が通貨を {1} から {2} に改名しました。"
"This mint is currently not functional, check status for details.","この造幣機は現在機能していません。詳細についてはステータスを確認してください。"
"Need to give your currency a name before you can craft it.","通貨を製造する前に通貨の名前を設定する必要があります。"
"You must craft more than zero coins.","1つ以上のコインを製作する必要があります。"
"{0} created {1}.","{0} は {1} を作成しました。"
"No item on table to repair.","修理するアイテムが置かれていません。"
"Cannot repair {0}.","{0} を修理できません。"
"{0} is already at max durability.","{0} の耐久度は既に最大です。"
"You can't repair {0} until you learn {1}.","{1} を学ぶまで {0} を修理することはできません。"
"Unable to repair, please check table status.","修理できません。詳細についてはステータスを確認してください。"
"Not enough {0} to complete the repair, {1} needed.","修理するには {0} が足りません。{1} が必要です。"
"{0} repaired to maximum durability.","{0} が最大耐久力まで修理しました。"
"No items marked for trade.","トレードのためのアイテムが選択されていません。"
"Trade failed: {0} doesn't want any more {1}.","トレード失敗: {0} が設定した {1} の買い取り個数の上限に達しました。"
"Trade failed: {0} wants a max of {1} {2}","トレード失敗: {0} は最大 {1} {2} を求めています。"
"The owner {0} doesn't have enough currency to cover this trade.","所有者の {0} は、トレードするための十分な通貨を持っていません。"
"{0} is now sold out of {1}","{0} の {1} は売り切れました。"
"You briefly faint and drop the cart handles! You are starving!","力が入らず思わずカートの取っ手を落としてしまった！お腹が空いています！"
"You are too hungry to pull this {0}!","あまりにもお腹が空いて {0} をひけない!"
"No meteor to destroy.","破壊できる隕石がありません。"
"Meteor destroyed.","隕石は破壊されました。"
"A wild meteor has appeared!","やせいの"いんせき"があらわれた!"
"A meteor already exists!","隕石は既に存在します!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","契約 '{0}' は有効ではありません。修正するか、削除しないと新しく投稿できません。"
"No currency found.","通貨は見つかりませんでした。"
"<Unassigned>","<未割り当て>"
"That contract is too far away to accept.  Contract board is located at {0}.","その契約を受けるには遠すぎます。 掲示板は {0} にあります。"
"Contract not accepted: cannot have more than {0} active contracts at once.","受けられない契約: 一度に {0} 個以上の有効な契約を持つことはできません。"
"Can't mark a job failed until the time has expired. {0} left.","時間になるまで契約を破棄できません。 あと {0} です。"
"{0:client name} marked {1:contractor name}'s contract failed:","{1:contractor name} は {0:client name} の契約を破棄した:"
"{0:client name} marked your contract as failed:","{0:client name} はあなたの契約を破棄した:"
"Contract does not have any clauses.","契約に条項が書かれていません。"
