key,translation,comment
"Could not create save file: {0}","세이브 파일을 생성할 수 없습니다: {0}"
"Could not start server:","서버를 시작할 수 없습니다:"
"Connection Failed","연결 실패"
"Hit {0} for {1} damage!","{0}을(를) 맞춰서 {1} 데미지를 입혔습니다!"
"You killed the {0}. Find the carcass to harvest it.","{0}을(를) 죽이셨습니다. 사체를 찾아 갈무리하세요."
"The carcass has already been harvested","사체가 이미 갈무리 되었습니다"
"You cannot queue more than {0} projects at a single table.","한 작업대당 {0}개보다 작업을 많이 대기시킬 수는 없습니다."
"Cannot lower the priority of other people's work orders on someone else's property.","다른 사람의 부지에서 제작 주문의 우선도를 낮추실 수는 없습니다."
"Project cancelled.","작업이 취소되었습니다."
"Could not cancel this project: {0}","이 작업을 취소할 수 없습니다: {0}"
"This {0:object} has active projects and can't be picked up","{0:object}에는 이미 시행 중인 작업이 있어 회수하실 수 없습니다"
"Specify an amount to buy first.","구매하기 전, 수량을 먼저 정하세요."
"Can't have more than 100 exchanges listed.","교환 목록은 100개를 넘길 수 없습니다."
"Can't have more than 100 holdings listed.","보유 목록은 100개를 넘길 수 없습니다."
"This mint is currently disabled, check status for details.","해당 조폐기는 현재 사용이 불가능합니다, 자세한 정보를 알고 싶다면 상태를 확인하세요."
"Invalid currency name.","유효하지 않은 화폐 이름입니다."
"That currency name already exists at another mint.","다른 조폐기계에서 이미 발행하고 있는 화폐의 이름입니다."
"{0} created the currency {1}.","{0}님이 {1} 화폐를 만드셨습니다."
"{0} renamed currency {1} to {2}.","{0}님이 화폐 {1}의 이름을 {2}로 변경했습니다."
"This mint is currently not functional, check status for details.","해당 조폐기는 작동이 정지됐습니다, 자세한 정보를 알고 싶다면 상태를 확인하세요."
"Need to give your currency a name before you can craft it.","화폐의 명칭을 정하셔야 제작하실 수 있습니다."
"You must craft more than zero coins.","최소 1개보다 많이 코인을 제작하셔야 합니다."
"{0} created {1}.","{0}님이 {1}을(를) 만들었습니다."
"No item on table to repair.","작업대에 수리하려는 물건이 없습니다."
"Cannot repair {0}.","{0}을(를) 수리할 수 없습니다."
"{0} is already at max durability.","{0}은(는) 이미 내구도가 최대 상태입니다."
"You can't repair {0} until you learn {1}.","{1}을(를) 배우기 전까지는 {0}을(를) 수리할 수 없습니다."
"Unable to repair, please check table status.","수리할 수 없습니다. 작업대의 상태를 확인해주세요."
"Not enough {0} to complete the repair, {1} needed.","{0}이(가) 부족하여 수리를 하지 못했습니다. {1}개 필요합니다."
"{0} repaired to maximum durability.","{0}이(가) 최대 내구도로 수리되었습니다."
"No items marked for trade.","거래할 물건이 설정되어 있지 않습니다."
"Trade failed: {0} doesn't want any more {1}.","거래 실패: {0}은(는) 이제 {1}을(를) 원하지 않습니다."
"Trade failed: {0} wants a max of {1} {2}","거래 실패: {0}님은 {1} {2}의 최대(를) 원합니다"
"The owner {0} doesn't have enough currency to cover this trade.","소유자 {0}님은 이 거래에 충분한 화폐를 가지고 있지 않습니다."
"{0} is now sold out of {1}","{1}의 {0}이(가) 전부 소진되었습니다"
"You briefly faint and drop the cart handles! You are starving!","잠깐 정신을 잃어 수레의 손잡이를 놓쳤습니다! 당신은 매우 굶주린 상태입니다!"
"You are too hungry to pull this {0}!","심한 공복 상태라 {0}을(를) 끌 수 없습니다!"
"No meteor to destroy.","파괴할 운석이 없습니다."
"Meteor destroyed.","운석이 파괴되었습니다."
"A wild meteor has appeared!","야생의 운석이 나타났다!"
"A meteor already exists!","운석이 이미 존재합니다!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","'{0}' 계약이 유효하지 않습니다. 다른 계약을 추가로 게시하기 위해서는 수정 또는 삭제를 해야 합니다."
"No currency found.","부합하는 화폐를 찾을 수 없습니다."
"<Unassigned>","<할당되지 않음>"
"That contract is too far away to accept.  Contract board is located at {0}.","너무 멀리 떨어져 있어 계약을 수락할 수 없습니다. 계약 게시판은 {0}에 위치해 있습니다."
"Contract not accepted: cannot have more than {0} active contracts at once.","계약을 수락할 수 없습니다: 진행 중인 계약은 {0}건을 초과할 수 없습니다."
"Can't mark a job failed until the time has expired. {0} left.","기간이 만료되기 전에는 실패로 표시하실 수 없습니다. {0}남았습니다."
"{0:client name} marked {1:contractor name}'s contract failed:","{0:client name}이(가) {1:contractor name}의 계약이 실패하였음을 통보했습니다:"
"{0:client name} marked your contract as failed:","{0:client name}이(가) 당신의 계약이 실패하였음을 통보했습니다:"
"Contract does not have any clauses.","계약에 어떠한 조항도 있지 않습니다."
"Must give the contract a name (click icon in title bar).","계약에는 계약명이 필수적입니다 (제목 옆 아이콘을 클릭하세요)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","직접 작성이 포함된 계약은 '자동 수락'이 해제되어야 합니다. 계약 화면 밑부분에서 항목을 비활성화해주시고, 계약이 완료되면 수동으로 승인을 해주시길 바랍니다."
"Put {0} in {1}.","{1}에 {0}을(를) 넣으세요."
"No items specified for container clause.","저장고 조항에 물품이 지정되지 않았습니다."
"No room at requested location, {0}.","의뢰한 위치에 방이 존재하지 않습니다, {0}."
"From position not specified for Build Road clause.","도로 건설 조항에 시작 지점이 지정되어 있지 않습니다."
"To position not specified for Build Road clause.","도로 건설 조항의 종착 지점이 지정되어 있지 않습니다."
"Same position chosen for beginning/end points of road in Build Road clause.","도로 건설 조항에서 시작과 끝의 위치가 동일하게 설정되어 있습니다."
"No item specified for road type.","도로 건설을 위한 특정 재료가 지정되지 않았습니다."
"No road type selected.","도로 종류가 지정되어 있지 않습니다."
"Road not complete. Last valid point on road detected at {0}.","도로가 미완성입니다. 유효한 도로의 마지막 위치가 {0}에서 발견이 되었습니다."
"more","더 많이"
"less","더 적게"
"No property specified for Blocks clause.","블록 조항에 해당하는 부지가 정해지지 않았습니다."
"No items specified for blocks on property clause.","부지에 있는 특정 블록이 정해지지 않았습니다."
"more than","초과"
"less than","미만"
"\nFound {0} at {1}.","\n{1}에서 {0}을(를) 찾았습니다."
"No currency specified in payment clause.","지불 조항의 화폐가 지정되어 있지 않습니다."
"Client doesn't have {0} needed to pay.","의뢰인이 지불에 필요한 {0}를 가지고 있지 않습니다."
"Contractor doesn't have the needed {0} deposit specified in payment clause.","계약자에게 지불 조항에서 지정된 필요 보증금 {0}이 없습니다."
"{0} paid to {1}. ","{0}님이 {1}에게 지불하였습니다. "
"{0} refunded.","{0}이(가) 환불 되었습니다."
"No custom description set.","직접 작성 항목이 비어있습니다."
"{0} must be at or above {1}.","{0}은(는) {1} 이상이어야 합니다."
"property rights","소유권"
"object rights","구조물 권리"
"permanently","영구적으로"
"for the term of the contract","계약 기간 동안"
"contract start","계약 시작 시"
"contract completion","계약 완료 시"
"Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.","{3:time point}까지 {1}의 {0:rights}을(를) { 2:permanent or not} 받습니다."
"No location specified for permissions grant.","권한 설정을 할 공간이 지정되지 않았습니다."
"If you give permissions at contract completion, they must be permanent.","계약 완료 이후에 권한을 주고자 한다면, '영구적으로' 권한을 주어야 합니다."
"Can't get permissions on property or object at {0}, may be unclaimed.","{0}의 부지 또는 물건에 대한 권한을 부여받을 수 없습니다. 소유 해제가 된 곳일 수 있습니다."
"added","추가됨"
"removed","제거됨"
"{0} of the following must be true: {1}","{0} 중 하나가 참이어야 함: {1}"
