key,translation,comment
"Could not create save file: {0}","Nie udało się utworzyć pliku zapisu: {0}"
"Could not start server:","Nie udało się uruchomić serwera:"
"Connection Failed","Nie można się połączyć"
"Hit {0} for {1} damage!","{0} otrzymuje cios za {1} obrażeń!"
"You killed the {0}. Find the carcass to harvest it.","Upolowano {0}. Znajdź tuszę, aby ją zebrać."
"The carcass has already been harvested","Tusza została już zebrana."
"You cannot queue more than {0} projects at a single table.","Nie możesz zakolejkować więcej niż {0} projektów na pojedynczym stole."
"Cannot lower the priority of other people's work orders on someone else's property.","Nie możesz zmniejszyć ważności zleceń innych osób na czyjejś działce."
"Project cancelled.","Projekt anulowany."
"Could not cancel this project: {0}","Nie udało się anulować tego projektu: {0}"
"This {0:object} has active projects and can't be picked up","{0:object} ma aktywne projekty i nie może być zabrany."
"Specify an amount to buy first.","Określ najpierw ilość zakupu."
"Can't have more than 100 exchanges listed.","Nie możesz mieć zapisanych więcej niż 100 wymian."
"Can't have more than 100 holdings listed.","Nie możesz mieć zapisanych więcej niż 100 posiadłości."
"This mint is currently disabled, check status for details.","Ta mennica w tej chwili jest wyłączona, sprawdź jej status, aby zobaczyć szczegóły."
"Invalid currency name.","Nieprawidłowa nazwa waluty."
"That currency name already exists at another mint.","Ta waluta jest już używana w innej mennicy."
"{0} created the currency {1}.","{0} tworzy walutę {1}."
"{0} renamed currency {1} to {2}.","{0} zmienia nazwę waluty {1} na {2}."
"This mint is currently not functional, check status for details.","Ta Mennica w tej chwili nie działa, sprawdź jej status aby zobaczyć szczegóły."
"Need to give your currency a name before you can craft it.","Trzeba nadać nazwę walucie, zanim będzie można ją wytworzyć."
"You must craft more than zero coins.","Musisz wytworzyć przynajmniej 1 monetę."
"{0} created {1}.","{0} tworzy {1}."
"No item on table to repair.","Brak przedmiotu do naprawy."
"Cannot repair {0}.","Nie możesz naprawić {0}."
"{0} is already at max durability.","{0} ma już maksymalną wytrzymałość."
"You can't repair {0} until you learn {1}.","Nie możesz naprawić {0}, dopóki nie nauczysz się {1}."
"Unable to repair, please check table status.","Nie udało się naprawić. Sprawdź szczegóły Stołu Naprawczego."
"Not enough {0} to complete the repair, {1} needed.","Zbyt mało {0} aby naprawić, potrzebujesz więcej {1}."
"{0} repaired to maximum durability.","{0}: w pełni naprawiono."
"No items marked for trade.","Nie wybrano żadnych przedmiotów do wymiany."
"Trade failed: {0} doesn't want any more {1}.","Wymiana nie udała się. {0} nie chce więcej {1}."
"Trade failed: {0} wants a max of {1} {2}","Wymiana nie udała się: {0} chce maksymalnie {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","Właściciel {0} nie posiada wystarczających środków by pokryć tą transakcje."
"{0} is now sold out of {1}","{0} wyprzedał {1}"
"You briefly faint and drop the cart handles! You are starving!","Zemdlałeś na chwilę i upuściłeś wózek! Umierasz z głodu!"
"You are too hungry to pull this {0}!","Jesteś zbyt głodny aby ciągnąć {0}!"
"No meteor to destroy.","Brak meteoru do zniszczenia."
"Meteor destroyed.","Meteor zniszczony."
"A wild meteor has appeared!","Pojawił się dziki meteor!"
"A meteor already exists!","Meteor już istnieje!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","Zlecenie '{0}' jest niewłaściwe, musisz je naprawić lub usunąć zanim zrobisz nowe."
"No currency found.","Nie znaleziono waluty."
"<Unassigned>","<Nie przypisane>"
"That contract is too far away to accept.  Contract board is located at {0}.","Zlecenie jest za daleko aby je zaakceptować. Tablice Zleceń znajdziesz tu {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Nie zaakceptowano zlecenia: nie można mieć więcej aktywnych zleceń niż {0}."
"Can't mark a job failed until the time has expired. {0} left.","Nie możesz oznaczyć pracy jako nie wykonana, zanim nie minie czas na jej wykonanie. Zostało: {0}."
"{0:client name} marked {1:contractor name}'s contract failed:","{0:client name} oznaczył zlecenie {1:contractor name} jako nie wykonane:"
"{0:client name} marked your contract as failed:","{0:client name} oznaczył Twoje zlecenie jako nieudane:"
"Contract does not have any clauses.","Zlecenie nie zawiera żadnych warunków."
"Must give the contract a name (click icon in title bar).","Zlecenie musi mieć swoją nazwę (kliknij ikonę na pasku tytułu)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Umowa nie może być 'automatyczne akceptowanie', gdy zawiera niestandardowe warunki. Usuń zaznaczenie pola w dolnej części umowy. Po zakończeniu niniejszej umowy, trzeba będzie ręcznie zatwierdzić jej zakończenie."
"Put {0} in {1}.","Włóż {0} do {1}."
"No items specified for container clause.","Nie określono przedmiotów dla klauzuli kontenera."
"No room at requested location, {0}.","Brak pomieszczenia w wyznaczonej lokalizacji, {0}."
"From position not specified for Build Road clause.","Nie ustalono pozycji startowej w klauzuli budowania drogi."
"To position not specified for Build Road clause.","Nie ustalono pozycji końcowej w klauzuli budowania drogi."
"Same position chosen for beginning/end points of road in Build Road clause.","Wybrano tę samą pozycję dla początku i końca drogi w Warunkach Budowy Drogi."
"No item specified for road type.","Nie określono przedmiotu dla rodzaju drogi."
"No road type selected.","Nie wybrano typu drogi."
"Road not complete. Last valid point on road detected at {0}.","Droga nie ukończona. Ostatni prawidłowy punkt: {0}."
"more","więcej"
"less","mniej"
"No property specified for Blocks clause.","Brak własności określonej dla klauzuli bloków."
"No items specified for blocks on property clause.","Nie określono żadnych przedmiotów dla bloków w warunkach posiadłości."
"more than","więcej niż"
"less than","mniej niż"
"\nFound {0} at {1}.","\nZnaleziono {0} w {1}."
"No currency specified in payment clause.","Nie sprecyzowano waluty w warunku płatności."
