key,translation,comment
"Could not create save file: {0}","No se pudo crear el archivo: {0}"
"Could not start server:","No se pudo iniciar el servidor:"
"Connection Failed","Fallo de Conexión"
"Hit {0} for {1} damage!","Has golpeado a {0}, causando {1} de daño"
"You killed the {0}. Find the carcass to harvest it.","Has matado a {0}. Encuentra el cuerpo y aprovéchalo."
"The carcass has already been harvested","Ya has aprovechado los restos de este animal"
"You cannot queue more than {0} projects at a single table.","No puede hacer más de {0} proyectos en una sola mesa."
"Cannot lower the priority of other people's work orders on someone else's property.","No se puede bajar la prioridad de órdenes de trabajo de otras personas en la propiedad de otra persona."
"Project cancelled.","Proyecto cancelado."
"Could not cancel this project: {0}","No se puedo cancelar este proyecto: {0}"
"This {0:object} has active projects and can't be picked up","Este {0:object} tiene proyectos activos y no pueden ser recogidos"
"Specify an amount to buy first.","Especifica antes una cantidad para comprar."
"Can't have more than 100 exchanges listed.","No se puede tener mas de 100 cambios en la lista."
"Can't have more than 100 holdings listed.","No se pueden tener más de 100 propiedades listadas."
"This mint is currently disabled, check status for details.","Esta Ceca está actualmente desactivada, comprueba el Estado para obtener más detalles."
"Invalid currency name.","Nombre de moneda no válido."
"That currency name already exists at another mint.","Ese nombre de divisa ya existe en otra casa de la moneda."
"{0} created the currency {1}.","{0} creó la moneda {1}."
"{0} renamed currency {1} to {2}.","{0} renombró la moneda {1} a {2}."
"This mint is currently not functional, check status for details.","Esta casa de la moneda ya no está activa. Comprueba su estado para más detalles."
"Need to give your currency a name before you can craft it.","Necesita darle un nombre a su moneda antes de poder crearla."
"You must craft more than zero coins.","Necesitas elaborar mas de cero monedas."
"{0} created {1}.","{0} ha creado {1}."
"No item on table to repair.","No hay ningún ítem en la mesa para reparar."
"Cannot repair {0}.","No se puede reparar {0}."
"{0} is already at max durability.","{0} ya esta a la máxima durabilidad."
"You can't repair {0} until you learn {1}.","No puedes reparar {0} hasta que aprendas {1}."
"Unable to repair, please check table status.","No se puede reparar, por favor comprueba el Estado de la mesa."
"Not enough {0} to complete the repair, {1} needed.","No hay suficiente {0} para completar la reparación, se necesita {1}."
"{0} repaired to maximum durability.","{0} reparado (durabilidad al máximo)."
"No items marked for trade.","No hay artículos marcados para el comercio."
"Trade failed: {0} doesn't want any more {1}.","Comercio fallido: {0} no quiere más {1}."
"Trade failed: {0} wants a max of {1} {2}","Comercio fallido: {0} quiere un máximo de {1}{2}"
"The owner {0} doesn't have enough currency to cover this trade.","El Dueño {0} no tiene suficiente dinero para hacer este intercambio."
"{0} is now sold out of {1}","A {0} se le acabo el stock de {1}"
"You briefly faint and drop the cart handles! You are starving!","¡Te desmayas brevemente y sueltas las asas del carro! ¡Te estás muriendo de hambre!"
"You are too hungry to pull this {0}!","¡Tienes demasiada hambre para empujar: {0}!"
"No meteor to destroy.","No hay ningún meteorito para destruir."
"Meteor destroyed.","Meteorito destruido."
"A wild meteor has appeared!","¡Un meteorito savaje ha aparecido!"
"A meteor already exists!","¡Un meteorito ya existe!"
"Contract '{0}' is invalid, must fix or delete before posting another one.","El Contrato '{0}' es inválido, debes arreglarlo o borrarlo antes de anunciar otro."
"No currency found.","Ninguna moneda encontrada."
"<Unassigned>","<Sin asignar>"
"That contract is too far away to accept.  Contract board is located at {0}.","Ese contrato está demasiado lejos para aceptar.  El Contrato se encuentra en {0}."
"Contract not accepted: cannot have more than {0} active contracts at once.","Contrato no aceptado: no puede tener más de {0} contratos activos a la vez."
"Can't mark a job failed until the time has expired. {0} left.","No se puede marcar un trabajo fallido hasta que el tiempo haya expirado. Queda {0}."
"{0:client name} marked {1:contractor name}'s contract failed:","{0:client name} marcó el {1:contractor name} como fallido:"
"{0:client name} marked your contract as failed:","{0:client name} ha marcado su contrato como fallido:"
"Contract does not have any clauses.","Contrato no tiene cláusulas."
"Must give the contract a name (click icon in title bar).","Debe dar el contrato un nombre (click en el icono en la barra de título)."
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","El Contrato no se puede 'Aceptar Automáticamente' cuando incluye una cláusula personalizada. Desmarca la opción en la parte inferior del contrato y tendrás que aprobar este contrato manualmente cuando se finalice."
"Put {0} in {1}.","Pon {0} en {1}."
"No items specified for container clause.","No hay artículos especificados para la cláusula de contenedor."
"No room at requested location, {0}.","No hay ninguna habitación en la ubicación solicitada, {0}."
"From position not specified for Build Road clause.","Desde una posición no especificada para la cláusula de Construcción de Carreteras."
"To position not specified for Build Road clause.","Hasta una posición no especificada para la cláusula de Construcción de Carreteras."
"Same position chosen for beginning/end points of road in Build Road clause.","Misma posición seleccionada para los puntos de principio/fin del camino en la cláusula de Construcción de Carreteras."
"No item specified for road type.","Ningún elemento especificado para el tipo de camino."
"No road type selected.","Ningún tipo de camino seleccionado."
"Road not complete. Last valid point on road detected at {0}.","Camino no completado. Último punto válido en el camino en {0}."
"more","mas"
"less","menos"
"No property specified for Blocks clause.","No se ha especificado una propiedad para la cláusula ""Bloques""."
"No items specified for blocks on property clause.","No hay elementos especificados para los bloques en la cláusula de propiedad."
"more than","mas que"
"less than","menos que"
"\nFound {0} at {1}.","\nEncontrado {0} en {1}."
"No currency specified in payment clause.","No se especificó ninguna moneda en la cláusula de pago."
"Client doesn't have {0} needed to pay.","No tiene cliente {0} necesarios para pagar."
"Contractor doesn't have the needed {0} deposit specified in payment clause.","El contratista no tiene el depósito {0} necesario especificado en la cláusula de pago."
"{0} paid to {1}. ","{0} ha pagado a {1}. "
"{0} refunded.","{0} devuelto."
"No custom description set.","No hay una descripción personalizada establecida."
"{0} must be at or above {1}.","{0} debe ser igual o superior {1}."
"property rights","derechos de propiedad"
"object rights","derechos de objeto"
"permanently","permanentemente"
"for the term of the contract","para el término del contrato"
"contract start","inicio de contrato"
"contract completion","terminación de contrato"
"Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.","Recibir {0:rights} en {1} {2:permanent or not} a {3:time point}."
"No location specified for permissions grant.","No ubicación especificada para la concesión de permisos."
"If you give permissions at contract completion, they must be permanent.","Si das permisos al finalizar el contrato, deben ser permanentes."
"Can't get permissions on property or object at {0}, may be unclaimed.","No se pueden obtener permisos sobre la propiedad u objeto en {0}, puede que no esté reclamado."
"added","añadido"
"removed","quitado"
"{0} of the following must be true: {1}","{0} de los siguientes debe ser verdadero: {1}"
"Harvest all {0} on the property at {1}.","Coseche todo el {0} en la propiedad en {1}."
"No harvest items specified.","No se especificaron artículos de cosecha."
"Harvest container","Contenedor de cosecha"
"Tree still has unharvested logs:\n{0}","El árbol todavía tiene troncos sin cosechar\n{0}"
"Property still has unharvested plants: {0} at {1}.","La propiedad todavía tiene plantas sin cosechar: {0} en {1}."
"Mow the lawn on the property at {0}.","Cortar el césped de la propiedad en {0}."
"Nothing mowable on that property.","Nada para cortar en esta propiedad."
"Unmowed {0:species name} at {1:position}.","Sin segar {0:species name} en {1:position}."
"Mow Lawn","Cortar el césped"
"Plow {0} square meters of field on the property at {1}.","Are {0} metros cuadrados de campo en la propiedad en {1}."
"Property does not cover {0} units.","Propiedad no cubre {0} unidades."
"Only {0} tilled spaces found on property, {1} needed.","Sólo {0} espacios arados encontrados en la propiedad, se necesitan {1}."
"Mow","Cortar"
"No property specified for clause.","Ninguna propiedad especificada para la cláusula."
"Remove all tree debris from property at {0}.  Contractor will be given special permission to remove debris on property.","Remover todos los restos de árboles de la propiedad en {0}.  El contratista dará permiso especial para quitar los restos en la propiedad."
"Debris/stumps still on property at {0}.","Restos/tocones todavía en la propiedad en {0}."
"Move items from {0} to {1}.","Mover objetos de {0} a {1}."
"Failed Rooms","Habitaciones Fallidas"
"Can't place a block there","No puede colocar un bloque ahí"
"No block to pick up","Ningún bloque para recoger"
"That is not a clothing item","Eso no es un objeto de ropa"
"You equipped {0}","Te equipaste {0}"
"Your {0} broke!  It will be much less efficient until repaired.","¡Se ha roto tu {0}! Hasta que lo repares, esta herramienta será mucho menos eficiente."
"You are not authorized to remove items from that.","Usted no está autorizado para eliminar los objetos de ahí."
"You are not authorized to put items into that.","No está autorizado a poner objetos ahí."
"You are not authorized to swap items into that.","No está autorizado para intercambiar objetos ahi."
"You are not authorized to swap items out of that.","No está autorizado para intercambiar objetos de ahí."
"Can't select {0} while carrying {1}.","No puedes equipar {0} mientras llevas {1}."
"Skill Benefits","Beneficios de habilidades"
"Couldn't find any items matching {0}","No se pudo encontrar objetos parecidos a {0}"
