key,translation,comment
"Could not create save file: {0}","Kayıt dosyası oluşturulamadı: {0}"
"Could not start server:","Sunucu başlatılamadı:"
"Connection Failed","Bağlantı Başarısız"
"Hit {0} for {1} damage!","{1} hasar için {0} vuruş yap!"
"You killed the {0}. Find the carcass to harvest it.","{0} canlısını öldürdün. Yağmalamak için cesedi bul."
"The carcass has already been harvested","Ceset halihazırda yağmalandı"
"You cannot queue more than {0} projects at a single table.","Tek bir masada {0} seferden fazla işlem yapamazsın."
"Cannot lower the priority of other people's work orders on someone else's property.","Başka birinin alanındayken, diğer insanların iş önceliğini düşüremezsin."
"Project cancelled.","Proje iptal edildi."
"Could not cancel this project: {0}","Şu proje iptal edilemedi: {0}"
"This {0:object} has active projects and can't be picked up","{0:object} birimi aktif projede olduğundan alınamaz"
"Specify an amount to buy first.","Satın almak için birim gir."
"Can't have more than 100 exchanges listed.","100 takas biriminden fazlası alınamaz."
"Can't have more than 100 holdings listed.","100 arazi parçasından fazlası alınamaz."
"This mint is currently disabled, check status for details.","Bu darphane şu an için devre dışı, detaylar için durum kontrole göz at."
"Invalid currency name.","Geçersiz para birimi ismi."
"That currency name already exists at another mint.","Bu para birimi ismi başka bir darphanede kullanılıyor."
"{0} created the currency {1}.","{0} {1} isimli para birimini oluşturdu."
"{0} renamed currency {1} to {2}.","{0} {1} para biriminin ismini {2} olarak değiştirdi."
"This mint is currently not functional, check status for details.","Bu darphane şu an için çalışmıyor, detaylar için durum kontrole göz at."
"Need to give your currency a name before you can craft it.","Oluşturmadan önce para birimine bir isim vermen gerekli."
"You must craft more than zero coins.","Sıfırdan farklı bir sayıda para üretmen gerek."
"{0} created {1}.","{0} {1} birimini üretti."
"No item on table to repair.","Masada onarmak için eşya yok."
"Cannot repair {0}.","{0} tamir edilemez."
"{0} is already at max durability.","{0} biriminin sağlamlığı maksimum seviyede."
"You can't repair {0} until you learn {1}.","{1} yeteneğini öğrenmeden, {0} birimini tamir edemezsin."
"Unable to repair, please check table status.","Tamir etme başarısız, masa durumunu kontrol et."
"Not enough {0} to complete the repair, {1} needed.","Tamir etme için yetersiz {0}, {1} adet gerek."
"{0} repaired to maximum durability.","{0} biriminin sağlamlığı tamamen yükseltildi."
"No items marked for trade.","Takas için eşya seçilmedi."
"Trade failed: {0} doesn't want any more {1}.","Takas başarısız: {0} daha fazla {1} istemiyor."
